input_file,method,experiment,density1,weight1,density2,weight2,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,18,0.3,0.9,0.3,0.9,0.744,0.701,0.786,0.685,0.0499,0.3303,0.3076,0.3229,0.0501,0.3280,0.3077,0.3181,0.0499,0.3271,0.3070,0.3173
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,19,0.4,0.1,0.4,0.1,0.732,0.646,0.765,0.667,0.0137,0.2607,0.2256,0.2407,0.0168,0.2654,0.2257,0.2396,0.0183,0.2700,0.2318,0.2478
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,20,0.4,0.2,0.4,0.2,0.707,0.646,0.757,0.664,0.0183,0.2291,0.2443,0.2114,0.0193,0.2250,0.2444,0.1957,0.0193,0.2250,0.2445,0.1958
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,21,0.4,0.3,0.4,0.3,0.762,0.713,0.780,0.672,0.0256,0.2334,0.2665,0.2211,0.0269,0.2283,0.2666,0.2035,0.0269,0.2280,0.2664,0.2033
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,22,0.4,0.4,0.4,0.4,0.762,0.720,0.778,0.669,0.0309,0.2590,0.2844,0.2470,0.0322,0.2544,0.2844,0.2318,0.0321,0.2540,0.2842,0.2315
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,23,0.4,0.5,0.4,0.5,0.762,0.720,0.794,0.680,0.0404,0.2982,0.3062,0.2873,0.0413,0.2944,0.3062,0.2759,0.0412,0.2939,0.3058,0.2754
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,24,0.4,0.6,0.4,0.6,0.756,0.713,0.786,0.685,0.0481,0.3325,0.3199,0.3240,0.0483,0.3298,0.3199,0.3177,0.0482,0.3291,0.3195,0.3170
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,25,0.4,0.7,0.4,0.7,0.738,0.695,0.791,0.690,0.0500,0.3343,0.3140,0.3264,0.0501,0.3319,0.3141,0.3215,0.0499,0.3309,0.3135,0.3207
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,26,0.4,0.8,0.4,0.8,0.707,0.659,0.772,0.675,0.0505,0.3331,0.3106,0.3255,0.0507,0.3307,0.3107,0.3207,0.0505,0.3298,0.3101,0.3199
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,27,0.4,0.9,0.4,0.9,0.732,0.695,0.775,0.677,0.0502,0.3303,0.3070,0.3225,0.0502,0.3280,0.3071,0.3178,0.0501,0.3271,0.3065,0.3170
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,28,0.6,0.1,0.6,0.1,0.726,0.646,0.746,0.659,0.0136,0.2610,0.2241,0.2409,0.0166,0.2659,0.2242,0.2399,0.0180,0.2701,0.2298,0.2480
m_dare_dsc7_d0_3_0_7_m_h.out,DARE,29,0.6,0.2,0.6,0.2,0.726,0.646,,,,,,,,,,,,,,
